M01AB
0
8
2
4
5
0
5.33
7
5
5
2
7.34
6
4
6
2
1
4.33
6
2
7
4
4.67
6
4.33
4.34
6
5.33
3.02
1
4.33
7
5
1.33
3
3.33
2.66
3.33
4
5
10
9
4.33
4
1
0
7.34
7.34
3.33
7
6
7
1
7
5
5
3
7
6.34
3.34
4
5.34
3.34
3
4
4.34
1
6.68
6
6.34
2.31
4.34
4
2.68
8.68
8
4
3
6
3.34
6.34
5.68
4
2.34
4
2.67
4
3
5.34
4.34
2
1
3
2
2
6.34
4.34
6
3.33
6
7.02
3
1.34
4.34
2
5.34
7
7.34
0
1.34
5.34
6.34
2
3
4.34
4
1.34
3.33
4.34
0
7.34
4
1.67
3
7.34
3.33
2
2
5
2
4.34
3.68
1
2.34
5.34
2.34
3.34
8.34
1
2
3.68
5
3
2
2.68
0
1.34
4
3.02
5.67
1
4
3
1
0.34
5
9
1
6.33
8.68
4.34
4.34
1
4
0.34
4.34
5
2
3
7.34
6
4
2.34
3
8
3
4.34
0.34
0
6
4.34
3
2.33
4.34
3.34
4
2
6.34
3
2.33
2
8.34
2
5
3.34
4
2
9
7.33
3
3
5
2.67
5.34
5
4
3
2
2.34
0.68
3
2
5
5
4
2
6
3.34
5.02
4
4
8
0
1.34
4
4.34
8
0.34
4.34
11.34
5.34
3
6.34
3
3
4.01
2.34
3.34
2.34
6.34
3.68
0
3.34
2.34
7
5.68
4
5.34
2
1
6.34
4.34
0
2.68
3
1.34
1.34
4
2.34
3
2
4.34
1
3.34
3
6
4.68
4
4
0.34
7
10
2.34
2
4.33
4.68
2
5.34
3
3.68
1
4.34
3.34
3
1.68
3
1.33
6.775
3
4
3.33
3.34
2.34
3.33
1.34
3.67
2.33
3.34
8.34
4
5
0
2
2.33
4
7
6.33
0
6
6
12
3.34
1
8
3
8
5.34
4.33
2
9
2.67
1.34
4
1.34
6
4
4
5.36
3
7
3.02
3
5.68
4.34
6.99
4
3
2.02
3.34
5
1
1
3.34
2.34
6.34
1
10
5.34
6.34
3
5
0
1
4.33
3.34
10.5
1
8.34
3.33
7.33
2.34
2.33
9
5.67
0
6
9
4.68
2.34
3
0
2
3
6
3
2.33
10.34
3
6.67
6.33
6.68
4
5.34
4.34
4
4
3.67
4.34
4
8.5
2.67
3
4.34
1
8.34
4.34
6
3.33
2.34
2
3.33
2
1.34
3.33
3.66
3
3
6.01
4.33
11.68
3.01
5.33
1
2
5.33
3
2
5
3.68
7
6
6.33
6.34
9
6.67
8
9.68
6
2
3.33
6
2
1.34
11
2.68
4
2.66
3.34
8
5
7.33
2
1
10.33
8.34
2
4
3.68
5
3
1.33
6
6.33
5
6.34
5
5.33
3.67
3.34
7.33
6
4
1.33
9.84
11.68
0
6.67
4.66
2
2.34
9.33
7.33
9.32
3
6.33
1.33
4
10
5
7
3
4.33
2
3
5.34
5
6.67
4
3.34
4.66
2
1
3.66
3.34
3.33
7.33
8
3
3.34
5
5
7
3
5.67
6
3
5.68
5.33
9.66
7.34
4
6
6.33
14
3
4.66
8.33
5
2.33
5
3.68
6.34
6
3
4.34
6
1.67
2.33
5
4
7
3.66
3
5.33
9.34
9.34
5.17
4.67
3.83
6.33
7.17
7.33
5.34
5.68
1
8.83
3
5.5
7.35
5
5.5
4.84
2
2.34
5.5
4
6.33
3.68
0.34
8.49
8.34
2.5
3.68
11.68
5.84
4.68
9.33
1.5
6
4
5
7.34
14.18
10.34
3
5.5
5
5
1.5
6.34
5
5.33
4.33
6.33
5
3.67
12.33
8.67
8
3
3.34
2
8
6.01
6.33
3.5
6
2.34
8.99
8.5
2.34
2.67
9.33
7
10.84
11
4
8.18
5.33
1.34
3.34
8.83
8.33
4.34
2.67
2
6
11.33
4.66
7.33
4.68
3.33
0.67
9.83
3.34
6.83
9.99
2
6.99
6.16
2.99
4.83
12.42
5.83
1
6.33
5.32
9.66
5
10.34
7
5
5.69
7.33
8.82
2
6.16
10.33
9.66
3.83
4.66
5.16
1.67
10.34
7.34
12
3.34
8.66
4.33
7
9.84
3
9
4.33
1
2.33
5.33
5.66
2.33
4.66
1.34
8.5
4.33
3.33
4
6.33
3.66
6.33
9.66
6
5
4.99
1.33
5.67
6.34
6.34
2
5.66
4
2
3
5
5.66
4.33
0.67
6.33
6.66
7.33
1.99
1
4
3.33
8
5.67
3
2
3.34
11.66
5.84
6.34
9.33
5
4.99
6.67
9
4.33
0
3
5
5.66
3.33
7.33
0.66
4.67
5.33
4
10.67
6.66
7.66
0
0.34
4
7.33
5.33
6.66
0
8
7.33
7
9.34
12
9
2
8.98
3.34
7.01
3.5
6
2.32
5
0.83
6.33
4
10.33
5.68
4.34
7.33
5
9
4.33
6.34
14.33
8
8.34
5.66
5.33
3.66
6.33
7
4.34
1.66
5.99
2.67
5.84
5.33
7.33
3
2.34
4
10.33
6.34
3
3
7.66
7.99
5
8
8
7
10
3.33
2.83
5
5
5
5.33
4
4.34
6.33
3.33
3
2.5
4.33
5.33
5.33
5.66
3.34
10.66
7.99
5
2.33
4
6.84
7
2.5
7.83
3.34
5.68
7.16
2.33
6.33
3.67
9.67
7
6
6.66
6.33
7.67
9
5
0.33
4.34
6.33
2.66
4.33
5.34
4.33
3.66
3
2.66
3
6
13.66
1
6.67
5.33
5.66
4.66
6.66
9.66
0
4
6.33
7.34
4.66
4
3.99
5
5.67
7.33
5.33
3.01
2.33
5.34
5.33
5
4
4
6.34
3
2
4.34
5
12
8.34
4.67
8.67
12.33
8.67
3.34
6
9
2.33
7.33
3.33
10.34
5.33
6
8.66
8.67
8.33
10.66
8.34
5.66
2.33
5
4
3.34
2
6.34
7.34
7.33
2
3
6
5.68
3
6
1.33
7
4
4
4.66
6.67
8.34
6
9.33
7.34
1.34
3.33
5.66
6.33
5.67
6.218333333
2.34
3
9.33
9.01
6
7.34
10.33
5.66
3.33
4.66
2.33
13
8.32
3
9.67
9.99
6.33
6
8.33
8.33
8
8
10.33
3
8
8.34
6.33
11.34
5.67
8.66
8
5
5
10
8.66
6.99
1
4.33
8
3.34
3
9.33
4.33
4
8.83
7.33
9
4.66
6
5
9.34
5.33
8.33
3.32
5
2.33
6
4.99
8.33
2.66
7
7
6
3
2
6.67
5.99
4
4.67
8.34
6.33
2.33
2
6
5.99
7
13.68
7.33
7
7.33
17
3.33
6.33
4
4.33
4.34
7.34
6.68
2
7.33
8.33
4.66
7
4
8.33
2
3
4.33
1.64
8.66
7
12.33
2.66
4.33
2.33
6.5
7
15.33
4.66
2.66
2.33
4
2
8.33
7.666666667
8
5
7
2.34
7.33
10.66
8
6
10
5.33
4
5
